scenario_group,scenario_name,metric_group,metric_name,seq_category,value,ci_lo,ci_hi
rule,primary_first_event,sample,retained_sequences,,118.0,,
rule,primary_first_event,sample,retained_reefs,,66.0,,
rule,primary_first_event,hierarchy,count,Isolated_Storm,42.0,,
rule,primary_first_event,hierarchy,mean_rel_loss,Isolated_Storm,0.11413404792011733,,
rule,primary_first_event,hierarchy,rank,Isolated_Storm,4.0,,
rule,primary_first_event,hierarchy,count,Isolated_Heatwave,13.0,,
rule,primary_first_event,hierarchy,mean_rel_loss,Isolated_Heatwave,-0.04923946421805777,,
rule,primary_first_event,hierarchy,rank,Isolated_Heatwave,5.0,,
rule,primary_first_event,hierarchy,count,Concurrent,,,
rule,primary_first_event,hierarchy,mean_rel_loss,Concurrent,,,
rule,primary_first_event,hierarchy,rank,Concurrent,,,
rule,primary_first_event,hierarchy,count,S_to_H,10.0,,
rule,primary_first_event,hierarchy,mean_rel_loss,S_to_H,0.4322444615911073,,
rule,primary_first_event,hierarchy,rank,S_to_H,1.0,,
rule,primary_first_event,hierarchy,count,S_to_S,19.0,,
rule,primary_first_event,hierarchy,mean_rel_loss,S_to_S,0.25020731794037393,,
rule,primary_first_event,hierarchy,rank,S_to_S,2.0,,
rule,primary_first_event,hierarchy,count,H_to_H,34.0,,
rule,primary_first_event,hierarchy,mean_rel_loss,H_to_H,0.18605116029059215,,
rule,primary_first_event,hierarchy,rank,H_to_H,3.0,,
rule,primary_first_event,hierarchy,count,H_to_S,,,
rule,primary_first_event,hierarchy,mean_rel_loss,H_to_S,,,
rule,primary_first_event,hierarchy,rank,H_to_S,,,
rule,primary_first_event,contrast,S_to_H_minus_Isolated_Heatwave,,0.48148392580916505,,
rule,primary_first_event,contrast,S_to_H_minus_H_to_H,,0.24619330130051514,,
rule,primary_first_event,model_status,model_ran,,1.0,,
rule,primary_first_event,sample,model_events,,118.0,,
rule,primary_first_event,sample,model_reefs,,66.0,,
rule,primary_first_event,model_status,reference_category,Isolated_Heatwave,,,
rule,primary_first_event,adjusted_mean,adjusted_mean,H_to_H,-0.005323548361289156,-0.47246611566834634,0.47973528378534785
rule,primary_first_event,adjusted_mean,adjusted_mean,Isolated_Heatwave,0.4467325151734579,-0.03279565437541498,0.914947994485223
rule,primary_first_event,adjusted_mean,adjusted_mean,Isolated_Storm,0.32183053039254667,0.04157258423919401,0.6095631199540013
rule,primary_first_event,adjusted_mean,adjusted_mean,S_to_H,0.32787955278660136,0.12643193449661624,0.5195604696576295
rule,primary_first_event,adjusted_mean,adjusted_mean,S_to_S,-0.15087156699240026,-0.6602096390704234,0.3748239397024019
rule,primary_first_event,model_coef,storm_exposure_seq_c,,0.014061839472835751,0.002344354807828273,0.02577932413784323
rule,primary_first_event,model_coef,heat_exposure_seq_c,,0.06613713042088677,0.023031375371040913,0.10924288547073263
rule,primary_first_event,model_coef,baseline_hc_c,,0.021230536799785805,0.014660703335059047,0.027800370264512562
rule,primary_first_event,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",,-0.45205606353474714,-0.9512161054148158,0.04710397834532154
rule,primary_first_event,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",,-0.12490198478091147,-0.7556059292180535,0.5058019596562304
rule,primary_first_event,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",,-0.11885296238685665,-0.7029253312671543,0.465219406493441
rule,primary_first_event,sequence_coef,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",,-0.5976040821658583,-1.5125922766772475,0.3173841123455311
rule,storm_priority,sample,retained_sequences,,118.0,,
rule,storm_priority,sample,retained_reefs,,66.0,,
rule,storm_priority,hierarchy,count,Isolated_Storm,42.0,,
rule,storm_priority,hierarchy,mean_rel_loss,Isolated_Storm,0.11413404792011733,,
rule,storm_priority,hierarchy,rank,Isolated_Storm,4.0,,
rule,storm_priority,hierarchy,count,Isolated_Heatwave,13.0,,
rule,storm_priority,hierarchy,mean_rel_loss,Isolated_Heatwave,-0.04923946421805777,,
rule,storm_priority,hierarchy,rank,Isolated_Heatwave,5.0,,
rule,storm_priority,hierarchy,count,Concurrent,,,
rule,storm_priority,hierarchy,mean_rel_loss,Concurrent,,,
rule,storm_priority,hierarchy,rank,Concurrent,,,
rule,storm_priority,hierarchy,count,S_to_H,14.0,,
rule,storm_priority,hierarchy,mean_rel_loss,S_to_H,0.5276970861584314,,
rule,storm_priority,hierarchy,rank,S_to_H,1.0,,
rule,storm_priority,hierarchy,count,S_to_S,15.0,,
rule,storm_priority,hierarchy,mean_rel_loss,S_to_S,0.11782331747583304,,
rule,storm_priority,hierarchy,rank,S_to_S,3.0,,
rule,storm_priority,hierarchy,count,H_to_H,34.0,,
rule,storm_priority,hierarchy,mean_rel_loss,H_to_H,0.18605116029059215,,
rule,storm_priority,hierarchy,rank,H_to_H,2.0,,
rule,storm_priority,hierarchy,count,H_to_S,,,
rule,storm_priority,hierarchy,mean_rel_loss,H_to_S,,,
rule,storm_priority,hierarchy,rank,H_to_S,,,
rule,storm_priority,contrast,S_to_H_minus_Isolated_Heatwave,,0.5769365503764892,,
rule,storm_priority,contrast,S_to_H_minus_H_to_H,,0.3416459258678392,,
rule,storm_priority,model_status,model_ran,,1.0,,
rule,storm_priority,sample,model_events,,118.0,,
rule,storm_priority,sample,model_reefs,,66.0,,
rule,storm_priority,model_status,reference_category,Isolated_Heatwave,,,
rule,storm_priority,adjusted_mean,adjusted_mean,H_to_H,-0.1550283625735545,-0.5995765838912057,0.30828655367854335
rule,storm_priority,adjusted_mean,adjusted_mean,Isolated_Heatwave,0.29587743680424955,-0.17701733214604895,0.7566959300041819
rule,storm_priority,adjusted_mean,adjusted_mean,Isolated_Storm,0.38292488499073957,0.0966924994917388,0.679003087595912
rule,storm_priority,adjusted_mean,adjusted_mean,S_to_H,0.3760494910058817,0.15627067845057963,0.5895303679344253
rule,storm_priority,adjusted_mean,adjusted_mean,S_to_S,-0.019240999906796785,-0.520619423545931,0.4852212201512576
rule,storm_priority,model_coef,storm_exposure_seq_c,,0.007621647762501318,-0.0037366458299549956,0.018979941354957633
rule,storm_priority,model_coef,heat_exposure_seq_c,,0.06971559122366654,0.03159207229777462,0.10783911014955845
rule,storm_priority,model_coef,baseline_hc_c,,0.019479435387626223,0.013128616857204997,0.025830253918047448
