table,model,model_family,response,term,label,beta,z,p,ci_low,ci_high,n_observations,n_reefs,r_squared,baseline_filter
Table S14,Reference recurrence model on baseline-composition subset,reef-cluster robust OLS,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.589170796608853,-4.0476773865642794,5.1728376861020075e-05,-3.8428975703929877,-1.3354440228247177,466,92,0.3974137767206526,
Table S14,Reference recurrence model on baseline-composition subset,reef-cluster robust OLS,loss_abs,storm_years_5yr_z,5-year storm years,-0.7375757970484734,-1.4341288257522506,0.15153550326508838,-1.7455898416202036,0.2704382475232566,466,92,0.3974137767206526,
Table S14,Loss model + Acropora proportion,reef-cluster robust OLS,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.518870967488411,-3.9243937981492287,8.694840589369338e-05,-3.7768732557167537,-1.260868679260068,462,91,0.4126589142124859,
Table S14,Loss model + Acropora proportion,reef-cluster robust OLS,loss_abs,storm_years_5yr_z,5-year storm years,-0.8187847433010028,-1.6375941112924424,0.1015063922972065,-1.798751999469436,0.16118251286743046,462,91,0.4126589142124859,
Table S14,Loss model + Acropora proportion,reef-cluster robust OLS,loss_abs,acropora_prop_baseline_z,Acropora Prop,1.6559843137769092,1.803540577908302,0.07130335868799124,-0.14362566102624075,3.455594288580059,462,91,0.4126589142124859,
Table S14,"Loss model + Acropora, Pocilloporidae and Porites proportions",reef-cluster robust OLS,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-3.3396231411171557,-4.201248474129365,2.6544705476026388e-05,-4.897622178506298,-1.7816241037280138,373,77,0.47360962244871296,
Table S14,"Loss model + Acropora, Pocilloporidae and Porites proportions",reef-cluster robust OLS,loss_abs,storm_years_5yr_z,5-year storm years,-1.1211735448659967,-2.0625431498782083,0.039156053850134445,-2.1865862944059105,-0.055760795326083246,373,77,0.47360962244871296,
Table S14,"Loss model + Acropora, Pocilloporidae and Porites proportions",reef-cluster robust OLS,loss_abs,acropora_prop_baseline_z,Acropora Prop,1.136787153114693,0.8760947518291475,0.38097852561492507,-1.406387399113564,3.67996170534295,373,77,0.47360962244871296,
Table S14,"Loss model + Acropora, Pocilloporidae and Porites proportions",reef-cluster robust OLS,loss_abs,pocilloporidae_prop_baseline_z,Pocilloporidae Prop,-0.14413910821412956,-0.22161619014639533,0.8246126779619047,-1.4188991366975925,1.1306209202693331,373,77,0.47360962244871296,
Table S14,"Loss model + Acropora, Pocilloporidae and Porites proportions",reef-cluster robust OLS,loss_abs,porites_prop_baseline_z,Porites Prop,0.4473065982507078,0.6478429992952675,0.5170865009423384,-0.9059608192751525,1.8005740157765682,373,77,0.47360962244871296,
Table S14,Loss model + coral proportions and macroalgae,reef-cluster robust OLS,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-3.5024613810465617,-4.3663548551875095,1.2633717207353154e-05,-5.0746419279249215,-1.930280834168202,373,77,0.47638126862424046,
Table S14,Loss model + coral proportions and macroalgae,reef-cluster robust OLS,loss_abs,storm_years_5yr_z,5-year storm years,-1.102819079449807,-2.035195593213453,0.041831196300151086,-2.1648721245688662,-0.040766034330747436,373,77,0.47638126862424046,
Table S14,Loss model + coral proportions and macroalgae,reef-cluster robust OLS,loss_abs,acropora_prop_baseline_z,Acropora Prop,1.1389198367660667,0.8778463026883834,0.3800271329780238,-1.4039419996437248,3.681781673175858,373,77,0.47638126862424046,
Table S14,Loss model + coral proportions and macroalgae,reef-cluster robust OLS,loss_abs,pocilloporidae_prop_baseline_z,Pocilloporidae Prop,-0.14541700476027625,-0.22561470195146893,0.821501105155768,-1.4086861516935238,1.1178521421729712,373,77,0.47638126862424046,
Table S14,Loss model + coral proportions and macroalgae,reef-cluster robust OLS,loss_abs,porites_prop_baseline_z,Porites Prop,0.4895304521392058,0.6934808992145015,0.48800780864621673,-0.8940145836580664,1.8730754879364782,373,77,0.47638126862424046,
Table S14,Loss model + coral proportions and macroalgae,reef-cluster robust OLS,loss_abs,macroalgae_sum_baseline_z,Macroalgae Sum,0.6785694742108247,1.830735914607593,0.0671399697454926,-0.04789889288108795,1.4050378413027373,373,77,0.47638126862424046,
Table S14,Retention model + Acropora and Porites proportions,reef-cluster robust OLS,retention,acropora_prop_baseline_z,Acropora Prop,-0.0599716225051746,-1.9374988842614929,0.05268438963332052,-0.12063860980482251,0.0006953647944733105,390,87,0.29551391793224957,baseline_hc > 10
Table S14,Retention model + Acropora and Porites proportions,reef-cluster robust OLS,retention,porites_prop_baseline_z,Porites Prop,-0.00956617991719692,-0.37400864770262326,0.7083978823982562,-0.059697021068880834,0.040564661234487,390,87,0.29551391793224957,baseline_hc > 10
Table S14,Retention model + coral proportions,reef-cluster robust OLS,retention,acropora_prop_baseline_z,Acropora Prop,-0.028150898807994085,-0.6830903048632504,0.49454978132351735,-0.10892315893712229,0.052621361321134125,329,77,0.32498035327023533,baseline_hc > 10
Table S14,Retention model + coral proportions,reef-cluster robust OLS,retention,pocilloporidae_prop_baseline_z,Pocilloporidae Prop,0.005122842976519463,0.14882175221379132,0.88169428599238,-0.062344362476136506,0.07259004842917544,329,77,0.32498035327023533,baseline_hc > 10
Table S14,Retention model + coral proportions,reef-cluster robust OLS,retention,porites_prop_baseline_z,Porites Prop,-0.010929844660896481,-0.33327899943428413,0.7389236901392688,-0.07520662756151998,0.05334693823972701,329,77,0.32498035327023533,baseline_hc > 10
Table S14,Retention model + coral proportions and macroalgae,reef-cluster robust OLS,retention,acropora_prop_baseline_z,Acropora Prop,-0.028071106021628447,-0.675173515670056,0.4995655309308853,-0.10955883551883162,0.05341662347557473,329,77,0.32498932568319217,baseline_hc > 10
Table S14,Retention model + coral proportions and macroalgae,reef-cluster robust OLS,retention,pocilloporidae_prop_baseline_z,Pocilloporidae Prop,0.005057988565020443,0.1469067674650288,0.8832056102174177,-0.062423418811364734,0.07253939594140563,329,77,0.32498932568319217,baseline_hc > 10
Table S14,Retention model + coral proportions and macroalgae,reef-cluster robust OLS,retention,porites_prop_baseline_z,Porites Prop,-0.010728371909440674,-0.32011127180437216,0.7488839812341408,-0.07641560134291461,0.05495885752403326,329,77,0.32498932568319217,baseline_hc > 10
Table S14,Retention model + coral proportions and macroalgae,reef-cluster robust OLS,retention,macroalgae_sum_baseline_z,Macroalgae Sum,0.0013260479404366748,0.056929819502681826,0.9546011002982706,-0.044326761566661176,0.04697885744753453,329,77,0.32498932568319217,baseline_hc > 10
