table,model,model_family,variable,category,metric,response,term,label,beta,z,p,ci_low,ci_high,n_observations,n_reefs,r_squared,q_all,q_within_variable
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,SOFT CORAL,Lobophytum,cat_soft_coral_lobophytum_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-3.2630517259167657,-4.97807418055217,6.422004488765518e-07,-4.547778234708714,-1.978325217124818,356,68,0.4584328427467482,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,SOFT CORAL,Sarcophyton,cat_soft_coral_sarcophyton_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-3.324369769036122,-4.478934555507585,7.5016526408851925e-06,-4.779100785499062,-1.8696387525731815,314,62,0.42597323583899094,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,ALGAE,Red Macroalgae,cat_algae_red_macroalgae_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.7618268392863192,-4.291228074309913,1.7768769788303637e-05,-4.023256211671233,-1.5003974669014049,459,91,0.402419968069502,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,ALGAE,Other Brown Macroalgae,cat_algae_other_brown_macroalgae_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.7729532646330304,-4.259887443135489,2.0452987467288392e-05,-4.048782403792904,-1.4971241254731569,444,88,0.4276428743965256,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,SOFT CORAL,Unidentified,cat_soft_coral_unidentified_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-3.0224090959115575,-4.191860348959942,2.7667629561378284e-05,-4.435579497927144,-1.6092386938959709,441,86,0.398713017150214,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,ALGAE,Unidentified Macroalgae,cat_algae_unidentified_macroalgae_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.8696874578796048,-4.166358907351264,3.0950329913047903e-05,-4.219663345556084,-1.5197115702031256,417,82,0.3944753002029814,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,MACROALGAE,Other Brown Macroalgae,cat_macroalgae_other_brown_macroalgae_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.6341248706950933,-4.149864850201368,3.32671637251541e-05,-3.878211139454687,-1.3900386019354996,466,92,0.397833873779452,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,ALGAE,Green Macroalgae,cat_algae_green_macroalgae_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.8141921726501744,-4.1366311067648205,3.524420194302954e-05,-4.147575585773179,-1.48080875952717,411,84,0.44354986868245116,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,MACROALGAE,Green Macroalgae,cat_macroalgae_green_macroalgae_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.6530919615002877,-4.128454417616512,3.6520981828083004e-05,-3.912634678025034,-1.3935492449755411,466,92,0.4022216188746215,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,SOFT CORAL,Sclerophytum,cat_soft_coral_sclerophytum_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.646431522634904,-4.116365933798994,3.8489304471749384e-05,-3.9065018262312874,-1.3863612190385206,452,86,0.40260691868733933,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,HARD CORAL,Merulinidae,cat_hard_coral_merulinidae_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.5942628873337084,-4.088961675495364,4.333084289161924e-05,-3.8377721762748847,-1.350753598392532,466,92,0.4103409306055448,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,HARD CORAL,Porites,cat_hard_coral_porites_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.6200666461761277,-4.04987177206867,5.124570523868459e-05,-3.8880663638503457,-1.3520669285019096,442,88,0.425682845076066,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,MACROALGAE,Unidentified Macroalgae,cat_macroalgae_unidentified_macroalgae_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.576408612149236,-4.015846038838709,5.923291692383661e-05,-3.8338442908167316,-1.3189729334817402,466,92,0.39802225167163396,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,HARD CORAL,Other,cat_hard_coral_other_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.5384945004067467,-4.010154193759747,6.067910880212332e-05,-3.7791843979404725,-1.297804602873021,466,92,0.40390257233160176,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,SOFT CORAL,Other,cat_soft_coral_other_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.5833791384211335,-4.00767377715943,6.131973999394943e-05,-3.846787876571058,-1.3199704002712092,466,92,0.3983979904680174,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,MACROALGAE,Red Macroalgae,cat_macroalgae_red_macroalgae_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.6054399431948236,-4.006243237911258,6.169211957691601e-05,-3.880092566435533,-1.3307873199541143,466,92,0.39744361130940553,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,ALGAE,Turf algae,cat_algae_turf_algae_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.514672137862157,-3.9451714787503813,7.974289183024943e-05,-3.763963036795986,-1.2653812389283274,466,92,0.398920062705336,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,ALGAE,Coralline algae,cat_algae_coralline_algae_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.537463235950157,-3.938498403214642,8.199313976359768e-05,-3.8002126509296024,-1.2747138209707116,466,92,0.39883409334443387,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,HARD CORAL,Pocilloporidae,cat_hard_coral_pocilloporidae_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-3.0376022243025615,-3.8111794751139514,0.00013830530336741195,-4.5997409264726485,-1.475463522132475,387,80,0.4465448779256721,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,HARD CORAL,Acropora,cat_hard_coral_acropora_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.387653092082636,-3.750066160406597,0.00017678792044142447,-3.6355548271150306,-1.139751357050241,462,91,0.42590966366058736,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,ALGAE,Other,cat_algae_other_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.514441019006768,-3.6020414366002407,0.000315728021885135,-3.8826134637843372,-1.1462685742291987,403,76,0.3969404121060487,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,SOFT CORAL,Nephtheidae,cat_soft_coral_nephtheidae_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.634186151130269,-3.5325763965203563,0.00041153130168837385,-4.095700186573369,-1.1726721156871687,377,77,0.4439660737361616,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,MACROALGAE,Lobophora,cat_macroalgae_lobophora_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.5311384127890735,-3.517808772917768,0.00043512580012734466,-3.9413742866503236,-1.1209025389278235,388,71,0.39752790591496534,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,SOFT CORAL,Xeniidae,cat_soft_coral_xeniidae_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.9071436192210793,-3.431984650740465,0.0005991814695015348,-4.567377382308975,-1.2469098561331833,333,69,0.46335578914882314,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,HARD CORAL,Montipora,cat_hard_coral_montipora_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.6721192804050724,-2.976576216134203,0.0029148662026437892,-4.4316097727368495,-0.9126287880732953,354,74,0.420324153679259,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,SOFT CORAL,Briareum,cat_soft_coral_briareum_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-1.405413770880531,-1.495788695629343,0.1347087281061254,-3.2469575546724694,0.4361300129114074,193,37,0.31619665752011306,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,SOFT CORAL,Gorgonian-like,cat_soft_coral_gorgonian_like_baseline,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-0.1894565892907044,-0.24134210131582412,0.8092899829256557,-1.728053003339705,1.349139824758296,160,36,0.40392607071644704,,
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,ALGAE,Green Macroalgae,cat_algae_green_macroalgae_baseline,loss_abs,cat_algae_green_macroalgae_baseline_z,Baseline category cover,1.0177849158403545,2.810661626348755,0.004943975034498471,0.30805103668726797,1.727518794993441,411,84,0.44354986868245116,0.12526256494593985,0.034607825241489296
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,MACROALGAE,Green Macroalgae,cat_macroalgae_green_macroalgae_baseline,loss_abs,cat_macroalgae_green_macroalgae_baseline_z,Baseline category cover,0.8260510290092328,2.508205653766856,0.012134601999257474,0.18055760074155192,1.4715444572769136,466,92,0.4022216188746215,0.12526256494593985,0.060673009996287365
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,SOFT CORAL,Lobophytum,cat_soft_coral_lobophytum_baseline,loss_abs,cat_soft_coral_lobophytum_baseline_z,Baseline category cover,-1.2802936472728654,-2.363799039858158,0.01808862162901118,-2.341859963181353,-0.21872733136437827,356,68,0.4584328427467482,0.12526256494593985,0.1627975946611006
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,ALGAE,Other Brown Macroalgae,cat_algae_other_brown_macroalgae_baseline,loss_abs,cat_algae_other_brown_macroalgae_baseline_z,Baseline category cover,0.5604673144739064,2.334811499326475,0.019553270208798046,0.08998147388350969,1.0309531550643032,444,88,0.4276428743965256,0.12526256494593985,0.06843644573079316
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,HARD CORAL,Acropora,cat_hard_coral_acropora_baseline,loss_abs,cat_hard_coral_acropora_baseline_z,Baseline category cover,2.932494368870386,2.270178230533469,0.023196771286285157,0.4007181098310908,5.464270627909681,462,91,0.42590966366058736,0.12526256494593985,0.13918062771771095
Table S15,Category-informed absolute-loss sensitivity,OLS with reef-cluster robust standard errors,HARD CORAL,Porites,cat_hard_coral_porites_baseline,loss_abs,cat_hard_coral_porites_baseline_z,Baseline category cover,-1.1290920596422704,-1.9122275333870309,0.055847016020752906,-2.286370539054845,0.028186419770303894,442,88,0.425682845076066,0.2513115720933881,0.16754104806225872
