table,model,model_family,response,term,label,beta,z,p,ci_low,ci_high,n_observations,n_reefs,window_years,metric
Table S5,3-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,cumulative_dhw_3yr_z,cumulative_dhw_3yr_z,-0.6948056771774849,-1.343473956154064,0.1791185536276031,-1.7084420765165644,0.3188307221615947,525,92,3,cumulative DHW
Table S5,3-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,cumulative_wind_3yr_z,cumulative_wind_3yr_z,0.704996948610219,1.434793565216361,0.15134593212059472,-0.2580465595186312,1.6680404567390692,525,92,3,cumulative wind
Table S5,3-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_3yr_z,heatwave_years_3yr_z,-1.565806790855652,-3.030397448263249,0.002442321120353822,-2.5785204593495816,-0.5530931223617224,525,92,3,heatwave years
Table S5,3-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,storm_years_3yr_z,storm_years_3yr_z,0.3120884207643686,0.6012300198780772,0.5476867923525733,-0.7052960152526273,1.3294728567813645,525,92,3,storm years
Table S5,3-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,max_consecutive_heatwave_3yr_z,max_consecutive_heatwave_3yr_z,-1.2889057515464841,-2.364225390540867,0.018067816615085493,-2.357420142181514,-0.22039136091145428,525,92,3,consecutive heatwave years
Table S5,3-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,max_consecutive_storm_3yr_z,max_consecutive_storm_3yr_z,0.3120884207643686,0.6012300198780772,0.5476867923525733,-0.7052960152526273,1.3294728567813645,525,92,3,consecutive storm years
Table S5,5-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,cumulative_dhw_5yr_z,5-year cumulative DHW,-1.2333329035299319,-2.188565716240023,0.028628419943174457,-2.3378407800490812,-0.12882502701078224,525,92,5,cumulative DHW
Table S5,5-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,cumulative_wind_5yr_z,5-year cumulative wind,-0.22471629463234064,-0.4244881697775258,0.6712098312180279,-1.262285479303639,0.8128528900389578,525,92,5,cumulative wind
Table S5,5-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.440772328145933,-4.006939148626384,6.151070242171392e-05,-3.6346576556203836,-1.2468870006714823,525,92,5,heatwave years
Table S5,5-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,storm_years_5yr_z,5-year storm years,-0.5082361728450545,-0.9881131469838633,0.32309723773290544,-1.5163439967894798,0.49987165109937093,525,92,5,storm years
Table S5,5-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,max_consecutive_heatwave_5yr_z,Maximum consecutive heatwave years,-1.8861594389752836,-3.0836744052901834,0.002044612284726587,-3.0849904709252822,-0.6873284070252847,525,92,5,consecutive heatwave years
Table S5,5-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,max_consecutive_storm_5yr_z,Maximum consecutive storm years,-0.5026354622752714,-0.9532842719289869,0.34044605822326934,-1.5360600475972452,0.5307891230467024,525,92,5,consecutive storm years
Table S5,7-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,cumulative_dhw_7yr_z,cumulative_dhw_7yr_z,-1.1351180550669908,-1.9817518525287992,0.04750702063279714,-2.257756342647512,-0.012479767486470061,525,92,7,cumulative DHW
Table S5,7-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,cumulative_wind_7yr_z,cumulative_wind_7yr_z,0.08689817615153998,0.1648472587019288,0.8690642057800055,-0.9462842796586457,1.1200806319617256,525,92,7,cumulative wind
Table S5,7-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_7yr_z,heatwave_years_7yr_z,-2.426604155767852,-3.8806796983014533,0.00010416494890361026,-3.6521772820740264,-1.201031029461678,525,92,7,heatwave years
Table S5,7-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,storm_years_7yr_z,storm_years_7yr_z,-0.045288355152388375,-0.0789711584545678,0.9370555636169713,-1.1692878855481084,1.0787111752433316,525,92,7,storm years
Table S5,7-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,max_consecutive_heatwave_7yr_z,max_consecutive_heatwave_7yr_z,-1.9481700949387264,-3.0673103909092516,0.002159944435679323,-3.193020708412506,-0.7033194814649466,525,92,7,consecutive heatwave years
Table S5,7-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,max_consecutive_storm_7yr_z,max_consecutive_storm_7yr_z,-0.06229676332618259,-0.11091952122483449,0.9116801654231707,-1.163089582520176,1.0384960558678107,525,92,7,consecutive storm years
Table S5,8-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,cumulative_dhw_8yr_z,cumulative_dhw_8yr_z,-1.3357692777766887,-2.3859991193527996,0.01703279184852709,-2.433028557909003,-0.2385099976443743,525,92,8,cumulative DHW
Table S5,8-year window sensitivity,OLS with reef-cluster robust standard errors,loss_abs,cumulative_wind_8yr_z,cumulative_wind_8yr_z,-0.05655938630599403,-0.10006890884616931,0.9202896185504138,-1.1643396291968886,1.0512208565849004,525,92,8,cumulative wind
