table,model,model_family,response,term,label,beta,z,p,ci_low,ci_high,n_observations,n_reefs,estimand_note,baseline_cutoff_percent,subset_definition,n_episodes,episode_rule,permutations
Table S8,Absolute-loss model without baseline-cover adjustment,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-1.722737510272953,-2.5297056910013853,0.011415823890772676,-3.057479131388016,-0.3879958891578903,525,92,,,,,,
Table S8,Absolute-loss model with baseline-cover adjustment,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.622107766233771,-4.321500168874825,1.549719332985489e-05,-3.8113329391067943,-1.4328825933607476,525,92,,,,,,
Table S8,Interval-coding sensitivity with prior-disturbance indicator,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.640955347584211,-4.358564355427559,1.3091842591013507e-05,-3.828543035625988,-1.4533676595424339,525,92,Distinguishes records with no observed prior disturbance from records whose observed time since most recent disturbance equals 10 years.,,,,,
Table S8,Interval-coding sensitivity with prior-disturbance indicator,OLS with reef-cluster robust standard errors,loss_abs,yrs_since_last_dist_z,Time since the most recent disturbance,-0.9746951402729279,-1.4659680857834143,0.1426569814891001,-2.277839041813085,0.32844876126722944,525,92,Distinguishes records with no observed prior disturbance from records whose observed time since most recent disturbance equals 10 years.,,,,,
Table S8,Interval-coding sensitivity with prior-disturbance indicator,OLS with reef-cluster robust standard errors,loss_abs,prior_disturbance_observed,Prior disturbance observed,0.3871295091806886,0.22391274629433802,0.8228251974230156,-3.0015114141431316,3.7757704325045087,525,92,Distinguishes records with no observed prior disturbance from records whose observed time since most recent disturbance equals 10 years.,,,,,
Table S8,Nadir-cover model,OLS with reef-cluster robust standard errors,nadir_hc,baseline_hc_z,Baseline hard-coral cover,6.7212203978819645,9.678130584340034,3.7348248018792775e-22,5.360074275993495,8.082366519770433,525,92,,,,,,
Table S8,Nadir-cover model,OLS with reef-cluster robust standard errors,nadir_hc,heatwave_years_5yr_z,5-year heatwave years,2.62210776623377,4.3215001688748185,1.5497193329855347e-05,1.4328825933607454,3.8113329391067943,525,92,,,,,,
Table S8,Proportional-retention model,OLS with reef-cluster robust standard errors,retention,heatwave_years_5yr_z,5-year heatwave years,-0.002549340312412808,-0.053669984749273536,0.9571980970224812,-0.09564821522373512,0.09054953459890952,525,92,,,,,,
Table S8,"Proportional-retention model, baseline > 5%",OLS with reef-cluster robust standard errors,retention,heatwave_years_5yr_z,5-year heatwave years,0.047658117596685035,1.7625722059975386,0.0779726682221104,-0.005337268205176243,0.10065350339854631,510,92,,5.0,,,,
Table S8,"Proportional-retention model, baseline > 10%",OLS with reef-cluster robust standard errors,retention,heatwave_years_5yr_z,5-year heatwave years,0.060650652597091216,2.227382828177836,0.02592169907657657,0.007281697235970622,0.11401960795821181,465,92,,10.0,,,,
Table S8,Proportional-retention model with baseline-cover adjustment,OLS with reef-cluster robust standard errors,retention,baseline_hc_z,Baseline hard-coral cover,-0.2294066987614992,-6.174723051323757,6.62795489213438e-10,-0.3022243561118762,-0.15658904141112218,525,92,Conditional retention sensitivity; not the primary raw proportional-retention estimand.,,,,,
Table S8,Proportional-retention model with baseline-cover adjustment,OLS with reef-cluster robust standard errors,retention,heatwave_years_5yr_z,5-year heatwave years,0.028525015041867482,0.6703108941503888,0.5026596238097394,-0.054881062091022184,0.11193109217475715,525,92,Conditional retention sensitivity; not the primary raw proportional-retention estimand.,,,,,
Table S8,Recurrence model excluding 2024-2025 event years,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.8121514823560103,-3.419106734660088,0.0006282707682389663,-4.4241852830605835,-1.200117681651437,417,92,,,Excludes event years 2024 and 2025 to reduce incomplete-response-window leverage.,,,
Table S8,Positive-loss subset recurrence model,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-3.638072501308226,-5.381355963471617,7.392684339556139e-08,-4.963108630512668,-2.313036372103784,319,90,,,Restricts the response to observations with loss_abs >= 0.,,,
Table S8,Positive-loss subset excluding 2024-2025 event years,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-3.522671467990137,-3.5270040559920792,0.00042029032495874115,-5.4802278237583355,-1.5651151122219384,257,87,,,Combines the positive-loss restriction with removal of 2024-2025 event years.,,,
Table S8,Clean-event subset recurrence model,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-6.250064941904033,-2.7264906338457067,0.006401176928763606,-10.742984167483723,-1.7571457163243434,187,79,,,Disturbance-response observations with no additional storm or heatwave in the 2 years before or after the study event.,,,
Table S8,Recurrence model without study-event type,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.962136762289428,-4.752216758056046,2.01198508732548e-06,-4.183815331880654,-1.7404581926982023,525,92,,,,,,
Table S8,Period fixed-effects recurrence model,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.6571641873040526,-3.1780575530671107,0.0014826531677877236,-4.295884072379592,-1.0184443022285132,525,92,,,,,,
Table S8,Event-year fixed-effects recurrence model,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.5462026165111937,-2.3690544360661545,0.017833628432418727,-4.652724674311741,-0.4396805587106467,525,92,,,,,,
Table S8,GBR-sector fixed-effects recurrence model,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-3.106349236342434,-4.29668933149258,1.7336789818376955e-05,-4.523331511977361,-1.6893669607075066,525,92,,,,,,
Table S8,Within-reef fixed-effects recurrence model,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-3.813216007514853,-5.442828340034949,5.24411774618897e-08,-5.1863561422178215,-2.440075872811884,525,92,,,,,,
Table S8,Episode-level recurrence model,OLS with reef-cluster robust standard errors,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.2366474903169586,-2.6618691246266004,0.007770808600606705,-3.8835160333930867,-0.5897789472408304,245,92,,,,245.0,Study events on the same reef were merged when event years were <=3 years apart.,
Table S8,Spatial residual check,Moran's I on reef-mean residuals,main recurrence-model residual,Morans_I,Moran's I,0.07539150870295007,,0.046,,,92,92,,,,,,999.0
