table,model,model_family,response,term,label,beta,z,p,ci_low,ci_high,n_observations,n_reefs,n_episodes,episode_rule,permutations
Table S8,Nadir-cover model,reef-cluster robust OLS,nadir_hc,baseline_hc_z,Baseline hard-coral cover,6.7212203978819645,9.678130584340034,3.7348248018792775e-22,5.360074275993495,8.082366519770433,525,92,,,
Table S8,Nadir-cover model,reef-cluster robust OLS,nadir_hc,heatwave_years_5yr_z,5-year heatwave years,2.62210776623377,4.3215001688748185,1.5497193329855347e-05,1.4328825933607454,3.8113329391067943,525,92,,,
Table S8,Proportional-retention model,reef-cluster robust OLS,retention,heatwave_years_5yr_z,5-year heatwave years,-0.002549340312412808,-0.053669984749273536,0.9571980970224812,-0.09564821522373512,0.09054953459890952,525,92,,,
Table S8,Recurrence model without target-event type,reef-cluster robust OLS,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.962136762289428,-4.752216758056046,2.01198508732548e-06,-4.183815331880654,-1.7404581926982023,525,92,,,
Table S8,Period fixed-effects recurrence model,reef-cluster robust OLS,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.6571641873040526,-3.1780575530671107,0.0014826531677877236,-4.295884072379592,-1.0184443022285132,525,92,,,
Table S8,Event-year fixed-effects recurrence model,reef-cluster robust OLS,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.5462026165111937,-2.3690544360661545,0.017833628432418727,-4.652724674311741,-0.4396805587106467,525,92,,,
Table S8,GBR-sector fixed-effects recurrence model,reef-cluster robust OLS,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-3.106349236342434,-4.29668933149258,1.7336789818376955e-05,-4.523331511977361,-1.6893669607075066,525,92,,,
Table S8,Within-reef fixed-effects recurrence model,reef-cluster robust OLS,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-3.813216007514853,-5.442828340034949,5.24411774618897e-08,-5.1863561422178215,-2.440075872811884,525,92,,,
Table S8,Episode-level recurrence model,reef-cluster robust OLS,loss_abs,heatwave_years_5yr_z,5-year heatwave years,-2.2366474903169586,-2.6618691246266004,0.007770808600606705,-3.8835160333930867,-0.5897789472408304,245,92,245.0,Target events on the same reef were merged when event years were <=3 years apart.,
Table S8,Spatial residual check,Moran's I on reef-mean residuals,main recurrence-model residual,Morans_I,Moran's I,0.07539150870295007,,0.046,,,92,92,,,999.0
