table,model,model_family,response,term,label,beta,z,p,ci_low,ci_high,n_observations,n_reefs,r_squared
Table S9,Reference: cumulative-load model (full sample),OLS with reef-cluster robust standard errors,loss_abs,cumulative_dhw_5yr_z,5-year cumulative DHW,-1.3874816955996045,-2.446191209820726,0.014437440998528863,-2.4991749032549,-0.2757884879443089,525,92,0.3889323619157411
Table S9,Reference: cumulative-load model (full sample),OLS with reef-cluster robust standard errors,loss_abs,cumulative_wind_5yr_z,5-year cumulative wind,-0.5092625767674867,-0.9571173964328118,0.3385080038976409,-1.5521192972266533,0.5335941436916801,525,92,0.3889323619157411
Table S9,Cumulative-load + Baseline total algae cover,OLS with reef-cluster robust standard errors,loss_abs,cumulative_dhw_5yr_z,5-year cumulative DHW,-1.2256669279771204,-1.9081766120315296,0.056368393396205155,-2.4845981090481684,0.033264253093927554,446,88,0.408284098951454
Table S9,Cumulative-load + Baseline total algae cover,OLS with reef-cluster robust standard errors,loss_abs,cumulative_wind_5yr_z,5-year cumulative wind,-0.6189254132356006,-1.109152425670817,0.2673644319167472,-1.712617759735839,0.4747669332646378,446,88,0.408284098951454
Table S9,Cumulative-load + Baseline total algae cover,OLS with reef-cluster robust standard errors,loss_abs,baseline_algae_z,Baseline total algae cover,0.5540565957475649,0.8505539251185101,0.3950171931284674,-0.7226772373374915,1.8307904288326213,446,88,0.408284098951454
Table S9,Cumulative-load + Baseline juvenile density,OLS with reef-cluster robust standard errors,loss_abs,cumulative_dhw_5yr_z,5-year cumulative DHW,-1.8012422686709315,-2.6025511708545066,0.009253300515826726,-3.1577458462229164,-0.4447386911189466,410,91,0.4200589019136248
Table S9,Cumulative-load + Baseline juvenile density,OLS with reef-cluster robust standard errors,loss_abs,cumulative_wind_5yr_z,5-year cumulative wind,-0.4087516036825647,-0.7716164214554281,0.440341645314013,-1.4470115467896643,0.6295083394245349,410,91,0.4200589019136248
Table S9,Cumulative-load + Baseline juvenile density,OLS with reef-cluster robust standard errors,loss_abs,baseline_juveniles_z,Baseline juvenile density,-0.6431071608678222,-0.8197061700888653,0.4123836317659074,-2.1808128894511385,0.8945985677154941,410,91,0.4200589019136248
Table S9,Cumulative-load + Baseline macroalgae cover,OLS with reef-cluster robust standard errors,loss_abs,cumulative_dhw_5yr_z,5-year cumulative DHW,-1.3048650778840223,-2.0315520725476444,0.042199022858470894,-2.5637491556765974,-0.04598100009144712,452,89,0.41170371724571087
Table S9,Cumulative-load + Baseline macroalgae cover,OLS with reef-cluster robust standard errors,loss_abs,cumulative_wind_5yr_z,5-year cumulative wind,-0.5882711157544919,-1.0597337233470339,0.28926575612879823,-1.6762710299050245,0.4997287983960409,452,89,0.41170371724571087
Table S9,Cumulative-load + Baseline macroalgae cover,OLS with reef-cluster robust standard errors,loss_abs,baseline_macroalgae_z,Baseline macroalgae cover,0.5566367690302143,1.4894814803441832,0.1363606265378732,-0.17582485212257748,1.289098390183006,452,89,0.41170371724571087
Table S9,Cumulative-load + Baseline herbivorous fish density,OLS with reef-cluster robust standard errors,loss_abs,cumulative_dhw_5yr_z,5-year cumulative DHW,-1.6328237224389135,-2.4630268000821736,0.013776961753357063,-2.932150099633074,-0.33349734524475316,468,92,0.38774261006880617
Table S9,Cumulative-load + Baseline herbivorous fish density,OLS with reef-cluster robust standard errors,loss_abs,cumulative_wind_5yr_z,5-year cumulative wind,-0.416956975578749,-0.7999437281115707,0.4237434008821116,-1.4385546536633187,0.6046407025058207,468,92,0.38774261006880617
Table S9,Cumulative-load + Baseline herbivorous fish density,OLS with reef-cluster robust standard errors,loss_abs,baseline_herbivores_z,Baseline herbivorous fish density,0.3522180043837054,0.5431844487796519,0.587002812747063,-0.9186847338106174,1.623120742578028,468,92,0.38774261006880617
Table S9,Cumulative-load + all ecological covariates,OLS with reef-cluster robust standard errors,loss_abs,cumulative_dhw_5yr_z,5-year cumulative DHW,-1.5326175767967078,-2.157741090937119,0.03094796726755747,-2.924756450738251,-0.14047870285516462,384,87,0.4464690841822869
Table S9,Cumulative-load + all ecological covariates,OLS with reef-cluster robust standard errors,loss_abs,cumulative_wind_5yr_z,5-year cumulative wind,-0.5469696580316707,-0.9531021448425154,0.34053831951893665,-1.6717607795073248,0.5778214634439833,384,87,0.4464690841822869
Table S9,Cumulative-load + all ecological covariates,OLS with reef-cluster robust standard errors,loss_abs,baseline_algae_z,Baseline total algae cover,0.44221409584898785,0.5177572381026988,0.6046276571085643,-1.2317822049966263,2.1162103966946018,384,87,0.4464690841822869
Table S9,Cumulative-load + all ecological covariates,OLS with reef-cluster robust standard errors,loss_abs,baseline_juveniles_z,Baseline juvenile density,-1.0331718139488626,-1.3996600537097983,0.16161514128663024,-2.4799370765670825,0.4135934486693573,384,87,0.4464690841822869
Table S9,Cumulative-load + all ecological covariates,OLS with reef-cluster robust standard errors,loss_abs,baseline_macroalgae_z,Baseline macroalgae cover,0.6881563328678906,1.5894354497712286,0.11196211653445941,-0.1604227197437479,1.536735385479529,384,87,0.4464690841822869
Table S9,Cumulative-load + all ecological covariates,OLS with reef-cluster robust standard errors,loss_abs,baseline_herbivores_z,Baseline herbivorous fish density,-0.46657331010277864,-0.857690289514402,0.39106350342630036,-1.5327703921133813,0.5996237719078239,384,87,0.4464690841822869
